Control_Code,Control_type,Human_Control,HPV03,HPV06,HPV11,HPV13,HPV16,HPV18,HPV26,HPV28,HPV30,HPV31,HPV32,HPV33,HPV35,HPV39,HPV40,HPV42,HPV43,HPV44,HPV45,HPV51,HPV52,HPV53,HPV54,HPV55,HPV56,HPV58,HPV59,HPV61,HPV62,HPV64,HPV66,HPV67,HPV68a,HPV68b,HPV69,HPV70,HPV71,HPV72a,HPV73,HPV74,HPV76,HPV81,HPV82,HPV82v,HPV83,HPV84,HPV85,HPV86,HPV87,HPV89,HPV90,HPV91,HPV97,HPV114
hg19,pos,pass,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
human,pos,pass,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
NTC,neg,failed_to_amplify,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
water,neg,failed_to_amplify,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
Ext-Neg,neg,failed_to_amplify,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
SiHa-HeLa,pos,pass,neg,neg,neg,neg,pos,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
GEN_3_30_43_56_68a_76_87,pos,pass,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg
GEN_6_31_44_58_68b_81_89,pos,pass,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg
GEN_11_32_45_59_69_82_90,pos,pass,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg
GEN_13_33_51_61_70_82_91,pos,pass,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg
GEN_16_35_52_62_71_83_97,pos,pass,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg
GEN_18_39_53_64_72_84_114,pos,pass,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos
GEN_26_40_54_66_73_85,pos,pass,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg
GEN_28_42_55_67_74_86,pos,pass,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg
HR_pool,pos,pass,neg,neg,neg,neg,pos,pos,neg,neg,neg,pos,neg,pos,pos,pos,neg,neg,neg,neg,pos,pos,pos,neg,neg,neg,pos,pos,pos,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
